process,fold,n_mofs,family_C,family_A,composition_factor,r2_direct_lnS,r2_posthoc_lnS,spearman_direct_lnS,spearman_posthoc_lnS,mae_direct_lnS,mae_posthoc_lnS,delta_r2_direct_minus_posthoc
post_combustion_vsa,0,93957,geo_plus_rac,geometry_only,4.88235294117647,0.8014643420020555,0.036424911098117296,0.9005299057807247,0.8366757007183167,0.4219120947666177,1.0624906036291442,0.7650394309039382
post_combustion_vsa,1,53994,geo_plus_rac,geometry_only,4.88235294117647,0.8457958450625843,0.6614736748713601,0.8982029767356853,0.8410711812145281,0.3933731832355758,0.5737543192258411,0.1843221701912242
post_combustion_vsa,2,53994,geo_plus_rac,geometry_only,4.88235294117647,0.8611052955485123,0.16542722977610513,0.8993858154681691,0.8139291863914767,0.3817149499823392,1.0355468063271678,0.6956780657724072
post_combustion_vsa,3,53994,geo_plus_rac,geometry_only,4.88235294117647,0.6657874158573867,0.3785974921342511,0.8335676069159919,0.7776126386569435,0.5002515930772197,0.6821864806161946,0.28718992372313557
pre_combustion_psa,0,93957,geo_plus_rac,geometry_only,1.4999999999999998,0.8931601324868835,0.8079953805320059,0.9363315693684295,0.8967314648440295,0.18865868182091036,0.2550922243705909,0.0851647519548776
pre_combustion_psa,1,53994,geo_plus_rac,geometry_only,1.4999999999999998,0.9033434569613294,0.8263619704866498,0.7654225594286412,0.6539979351817895,0.16574351876623808,0.2280178741361698,0.07698148647467962
pre_combustion_psa,2,53994,geo_plus_rac,geometry_only,1.4999999999999998,0.9564154405714477,0.9239868902965335,0.9861236310509776,0.9622132352879067,0.1741246007678851,0.22790149291615497,0.0324285502749142
pre_combustion_psa,3,53994,geo_plus_rac,geometry_only,1.4999999999999998,0.801764235876265,0.7361562681704411,0.7984748866119034,0.7254059636048711,0.18685053457213419,0.21951213927099802,0.06560796770582389
natural_gas_purification,0,93957,geo_plus_rac,geo_plus_rac,9.0,0.7396052036685327,0.6514439472047268,0.878361657923171,0.8522672278505099,0.16602974421041994,0.1822592249222101,0.0881612564638059
natural_gas_purification,1,53994,geo_plus_rac,geo_plus_rac,9.0,0.642212685399168,0.5388393005683331,0.7619788146914678,0.77486619295491,0.20908515745205436,0.20888039966947008,0.10337338483083491
natural_gas_purification,2,53994,geo_plus_rac,geo_plus_rac,9.0,0.8346297333007539,0.7375961599775192,0.9253971801366602,0.9148443217185179,0.1410102310711785,0.15367559620011315,0.0970335733232347
natural_gas_purification,3,53994,geo_plus_rac,geo_plus_rac,9.0,0.45487624817905536,-0.2591983189148581,0.7625897413461614,0.7347561093932609,0.24072512808101285,0.37588772874725945,0.7140745670939135
landfill_gas_vpsa,0,93957,geo_plus_rac,geo_plus_rac,1.375,0.7093953947894589,0.5668368962702235,0.8775799702858801,0.8557818222151643,0.1403816985792293,0.15432641194757182,0.1425584985192354
landfill_gas_vpsa,1,53994,geo_plus_rac,geo_plus_rac,1.375,0.6260813950446977,0.5166921803321254,0.7742501972416507,0.8098802050475828,0.18847157315231816,0.18173595064665102,0.10938921471257235
landfill_gas_vpsa,2,53994,geo_plus_rac,geo_plus_rac,1.375,0.798040159454047,0.7184908226020672,0.9254392585692246,0.9140996155761018,0.12119523843551525,0.12561618581738815,0.07954933685197985
landfill_gas_vpsa,3,53994,geo_plus_rac,geo_plus_rac,1.375,0.5095126792475648,-0.0791313772360811,0.7956976539291256,0.7435816766978064,0.19091807014575735,0.3000180647326028,0.5886440564836459
