target,process,layer,fold,family,is_recommended,n_mofs,recall_at_100,precision_at_100,champion_misidentification_at_100,recall_at_1000,precision_at_1000,champion_misidentification_at_1000
CH4_65bar,methane_storage_psa,A_raw_uptake,0,geometry_only,0,93957,0.72,0.72,,0.636,0.636,
CH4_65bar,methane_storage_psa,A_raw_uptake,1,geometry_only,0,53994,0.77,0.77,,0.725,0.725,
CH4_65bar,methane_storage_psa,A_raw_uptake,2,geometry_only,0,53994,0.2,0.2,,0.411,0.411,
CH4_65bar,methane_storage_psa,A_raw_uptake,3,geometry_only,0,53994,0.64,0.64,,0.867,0.867,
CH4_65bar,methane_storage_psa,A_raw_uptake,0,geo_plus_rac,1,93957,0.76,0.76,,0.725,0.725,
CH4_65bar,methane_storage_psa,A_raw_uptake,1,geo_plus_rac,1,53994,0.89,0.89,,0.855,0.855,
CH4_65bar,methane_storage_psa,A_raw_uptake,2,geo_plus_rac,1,53994,0.79,0.79,,0.851,0.851,
CH4_65bar,methane_storage_psa,A_raw_uptake,3,geo_plus_rac,1,53994,0.91,0.91,,0.904,0.904,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,0,geometry_only,1,93957,0.03,0.03,,0.185,0.185,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,1,geometry_only,1,53994,0.16,0.16,,0.231,0.231,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,2,geometry_only,1,53994,0.15,0.15,,0.386,0.386,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,3,geometry_only,1,53994,0.18,0.18,,0.194,0.194,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,0,geo_plus_rac,0,93957,0.27,0.27,,0.459,0.459,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,1,geo_plus_rac,0,53994,0.53,0.53,,0.308,0.308,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,2,geo_plus_rac,0,53994,0.4,0.4,,0.618,0.618,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,3,geo_plus_rac,0,53994,0.2,0.2,,0.347,0.347,
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,0,geometry_only,0,93957,0.05,0.05,0.95,0.209,0.209,0.791
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,1,geometry_only,0,53994,0.04,0.04,0.96,0.227,0.227,0.773
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,2,geometry_only,0,53994,0.18,0.18,0.8200000000000001,0.434,0.434,0.5660000000000001
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,3,geometry_only,0,53994,0.15,0.15,0.85,0.207,0.207,0.793
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,0,geo_plus_rac,1,93957,0.15,0.15,0.85,0.447,0.447,0.5529999999999999
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,1,geo_plus_rac,1,53994,0.1,0.1,0.9,0.308,0.308,0.692
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,2,geo_plus_rac,1,53994,0.23,0.23,0.77,0.596,0.596,0.404
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,3,geo_plus_rac,1,53994,0.04,0.04,0.96,0.349,0.349,0.651
